GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,299,44,44,2,62,13,44,6,21,6
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,723,207,109,11,156,56,84,18,25,17
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,69,39,6,2,22,12,15,5,11,5
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1009,0,190,0,217,0,125,0,30,0
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,3,67,2,14,1,13,3,9,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,141,156,10,12,31,31,14,15,8,10
JaCoCo Coverage Report,org.apache.commons.cli,Option,363,162,57,11,81,42,63,20,33,16
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,115,29,4,0,47,15,20,3,18,3
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,Util,36,26,8,6,5,8,6,5,2,2
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,113,53,25,19,32,10,20,11,3,2
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,15,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,6,17,0,0,2,5,1,3,1,3
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,51,92,8,12,9,19,7,5,0,2
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,9,23,0,0,3,7,2,3,2,3
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,56,0,6,0,15,0,7,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,76,53,10,4,21,14,8,8,2,7
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,122,41,20,0,35,10,19,2,9,2
